Names,Location,Age,Salary,DoB,Blood types,Purchased
Esther Munyaneza,Nyagatare,44.0,808619.0,1982-12-23,O-,No
Beata Nsengiyumva,Rwamagana,23.0,631177.0,2003-06-19,B+,Yes
Esther Hakizimana,Kigali,44.0,-50000.0,1982-09-03,O-,No
Fabrice Mukamana,Rubavu,41.0,518205.0,1985-05-31,A-,No
Joseph Uwimana,Kayonza,46.0,1123210.0,1980-10-02,A+,No
Kevin Hakizimana,Rubavu,29.0,634464.0,1997-12-06,O-,No
Beata Rukundo,Musanze,50.0,566022.0,1976-02-03,O-,No
Sarah Nsengiyumva,Nyagatare,55.0,351477.0,,AB+,No
Chantal Niyomugabo,Huye,25.0,666896.0,2001-01-18,B-,
Eric Hakizimana,Musanze,48.0,311163.0,1978-07-22,X+,No
Michael Nsengiyumva,Kigali,54.0,567093.0,1972-02-21,AB-,Yes
Olivier Rukundo,Musanze,47.0,685835.0,1979-09-20,B-,Yes
,Muhanga,30.0,715117.0,1996-04-11,O+,No
Eric Nshimiyimana,Huye,50.0,674285.0,1976-06-08,B+,No
Eric Bizimana,Kigali,47.0,662321.0,1979-10-31,A+,No
Gilbert Habyarimana,Kigali,35.0,402154.0,1991-04-03,AB-,No
Claudine Nsengiyumva,Rusizi,38.0,453254.0,2030-05-10,A-,Yes
Beata Uwimana,Nyagatare,23.0,655765.0,2003-12-26,A+,Yes
Yvette Gahigi,Rwamagana,31.0,578499.0,1995-01-02,A+,No 
Anitha Niyonzima,Musanze,59.0,716835.0,1967-10-31,AB-,Yes
Joseph Kagabo,Rusizi,52.0,240469.0,1974-12-07,O+,Yes
Brian Rukundo,Musanze,51.0,937713.0,1975-01-08,AB+,No
Claude Niyomugabo,Muhanga,47.0,454896.0,1979-07-06,A-,No
Yvette Gahigi,Karongi,120.0,776416.0,1972-01-28,AB-,Yes
Diane Mutoni,Musanze,19.0,653205.0,2007-09-10,B+,No
Esther Habyarimana,Nyagatare,50.0,675429.0,1976-03-16,A-,Yes
Jean Rukundo,Muhanga,57.0,692127.0,1969-03-01,A-,No
Emmanuel Rukundo,Rusizi,29.0,229421.0,12/31/1995,A+,Yes
Grace Nkurunziza,Rubavu,19.0,960013.0,2007-09-18,O-,No
Alice Iradukunda,Rubavu,51.0,440104.0,1975-07-17,B+,No
Samuel Uwimana,Rwamagana,24.0,729145.0,2002-06-10,A+,Yes
Nadine Nsengiyumva,Rubavu,57.0,403078.0,1969-06-30,A+,Yes
Michael Nsengiyumva,Huye,29.0,801397.0,1997-09-06,B-,No
Emmanuel Nkurunziza,Rusizi,37.0,621404.0,1989-08-18,O-,Yes
Alice Iradukunda,Kigali,34.0,924852.0,1992-07-27,B+,No
Patrick Mutoni,Kigali ,40.0,775765.0,1986-05-15,O-,No
Stella Mukamana,Muhanga,18.0,505715.0,1998.07.04,AB+,Yes
SANDRINE NKURUNZIZA,Rubavu,23.0,550389.0,2003-05-09,B+,No
Esther Bizimana,Kigali,21.0,825675.0,2005-02-15,,Yes
Sarah Nsengiyumva,Nyagatare,46.0,795127.0,1980-12-30,O+,Yes
Sandrine Munyaneza,Rwamagana,44.0,508812.0,1982-01-12,AB-,Yes
Joseph Uwimana,Kayonza,46.0,1123210.0,1980-10-02,A+,No
Samuel Gahigi,Nyagatare,19.0,733480.0,2007-09-11,O+,Yes
Thierry Kagabo,Muhanga,52.0,528010.0,1974-10-26,AB-,No
Beata Nsengiyumva,Musanze,24.0,,2002-08-01,AB-,No
Nadine Gahigi,Huye,35.0,676527.0,1991-11-25,A+,No
Alice Rukundo,Muhanga,21.0,889983.0,2005-04-12,B-,No
Joseph Mukamana,Rusizi,43.0,152307.0,1983-12-05,B+,No
Claudine Munyaneza,Rwamagana,51.0,862263.0,1975-05-21,A+,No
Alice Mukamana,Huye,28.0,676358.0,1998-12-30,O-,No
Emmanuel Iradukunda,Kayonza,38.0,853422.0,1988-04-17,AB-,No
Kevin Hakizimana,Rubavu,29.0,634464.0,1997-12-06,O-,No
Alice Mukamana,Huye,28.0,676358.0,1998-12-30,O-,No
Joseph Munyaneza,Huye,58.0,549526.0,1968-07-27,B-,No
Gilbert Dusenge,Nyagatare,47.0,679792.0,1979-07-06,O++,Yes
Thierry Niyonzima,Rubavu,28.0,746301.0,1998-12-11,AB-,Yes
Sandrine Iradukunda,,48.0,386058.0,1978-01-31,O-,No
Gilbert Niyonzima,Rwamagana,30.0,,1996-04-13,O+,Yes
Patrick Nshimiyimana,Rwamagana,49.0,845191.0,1977-04-29,A+,Yes
Sandrine Mugabo,Musanze,44.0,567549.0,1982-07-16,AB+,Yes
Chantal Niyonzima,Nyagatare,25.0,590840.0,2001-03-08,AB+,Yes
